Label,证券代码,营业总收入,现金资产比率,应收类资产比率,固定资产比率,无形资产比率,金融负债比率,少数股东权益占比,市盈率（PE）1,资产负债率,市值A,托宾Q值A,账面市值比A,资产报酬率A,净资产收益率（ROE）A
7,002648,0.3573992,-0.35381648,-1.1389058,1.3140584,-0.13969696,1.5412039,-0.18212081,-0.27645978,0.8212467,0.01265344,-0.24513534,-0.09204073,1.0681287,0.22979796
0,002649,-0.07243276,1.4076186,1.9907624,-0.95267564,-0.45165515,-0.535642,-0.18348235,-0.1693429,-0.65038055,-0.064331084,-0.40369216,0.26014706,0.18424276,0.058627382
7,002650,-0.13667256,-0.4006165,-1.0979624,2.2663774,-0.20821804,0.46681762,-0.20026709,-0.37084353,-0.98111767,-0.06794628,-0.45747438,0.40254754,-1.1302305,-0.088104576
5,002651,-0.1443662,1.7693938,-0.65450186,-0.48076814,-0.2821098,-1.3321371,-0.18520844,-0.03317515,-1.1643127,-0.06638718,-0.21669033,-0.146449,0.16956878,0.061738472
8,002652,-0.1488329,-0.7819359,0.024715655,-0.2523717,-0.38599184,0.7234112,-0.18520844,-0.03467085,0.03951115,-0.06909454,1.7319478,-1.6374615,0.28767163,0.063701585
8,002653,-0.10955135,-0.21349229,-0.09259648,-0.38392842,2.2859201,1.5588629,-0.19504417,0.57015187,-0.069141984,-0.051615573,1.3711448,-1.5107682,0.97689587,0.18382755
8,002654,-0.10482951,-0.7856947,1.592888,0.013059839,0.110835336,0.42339474,-0.08934341,2.3156087,1.0387462,-0.06047396,0.97488827,-1.3301318,-0.3115479,-0.0033599425
8,002655,-0.1393588,-0.37181842,1.4530402,0.008066572,0.15981182,0.108126596,-0.111053474,0.09495629,0.65157914,-0.066532776,1.2708625,-1.469827,0.5802245,0.15396674
5,002656,-0.15054438,1.7937841,-0.75531995,-1.2673997,-0.55887127,-0.22902125,-0.17569633,-0.37084353,-0.4546153,-0.0697965,-0.06899246,-0.3956606,-1.0949786,-0.08891781
2,002657,-0.14463037,0.3785915,-1.0295489,-0.9006742,-0.4703457,-1.4974662,-0.1851638,-0.37084353,-0.9362406,-0.06580962,0.65510464,-1.1373026,-1.3549514,-0.10248935
2,002658,-0.139853,0.47782135,0.32998466,-0.96353143,-0.40432107,-1.4746363,-0.17924151,-0.22943036,-1.1485252,-0.067390606,-0.431213,0.3313219,-0.026838358,0.03697456
8,002659,-0.14949949,-0.4270379,-1.1759788,-1.1066582,-0.56425834,1.7334849,-0.18303594,-0.37084353,-0.69291484,-0.0674195,-0.4305772,0.32964092,-0.45930037,-0.038497314
0,002660,-0.13854381,0.22373766,1.0971563,-0.0602556,-0.6203957,-0.8539708,-0.16024707,-0.068502255,-0.47458676,-0.06802123,-0.10257682,-0.34341803,-0.25371394,0.021612007
7,002661,-0.09810072,-0.8221874,-1.1871693,1.9342813,-0.13667493,1.0624161,0.31216252,-0.37084353,0.5806043,-0.06512178,-0.6330648,0.98208666,0.28144434,0.07641262
7,002662,-0.11550594,0.025640354,0.05597887,1.104968,0.69085026,0.8396358,-0.18520844,-0.29996857,-0.99452555,-0.06577111,-0.60154855,0.86248857,0.966359,0.12185158
4,002663,-0.13253322,-0.7613297,0.0698126,-1.1109238,-0.68101686,-1.1355127,-0.093130395,0.525522,0.07266955,-0.06635734,-0.6974168,1.2533423,-0.66357243,-0.03514036
4,002664,-0.08227396,-0.5488376,0.556216,-0.14527589,-0.13329157,0.08724862,-0.1849034,-0.20738256,1.1358925,-0.06064981,-0.51046705,0.5570861,-0.35918984,0.026907483
7,002666,-0.09794562,-0.3014709,0.2408978,-0.39015484,0.24659644,0.8765613,-0.16111012,0.17774244,-0.5004774,-0.06652539,-0.71410644,1.3304005,0.034055397,0.020439439
8,002667,-0.14575969,-0.86377054,-0.7343891,0.9020364,-0.13440841,0.21417944,1.2680674,-0.37084353,0.44375917,-0.06811704,-0.18153125,-0.21060291,-2.4436266,-0.38593915
0,002668,0.06749458,0.3418291,1.4501826,-0.3885039,-0.4081807,-1.1796641,1.1449383,-0.30946976,1.6057577,-0.05147961,-0.1422499,-0.2785253,2.020321,0.83796066
0,002669,-0.11860409,-0.6183086,1.0826446,-0.18235815,0.14238591,0.81285036,0.15027079,0.19072014,0.7743168,-0.06469234,-0.7340655,1.4266332,-0.63633615,-0.083548576
4,002670,-0.13307576,1.9329283,-1.1986688,-1.2574064,-0.6879642,-1.1268535,-0.18447931,-0.37084353,1.5320765,-0.026981795,-0.47224972,0.4441258,-0.46046394,-0.0063613425
0,002671,-0.14084561,-0.6430444,1.062692,0.12878098,0.3821933,0.43770802,-0.18642116,0.24769577,-0.0045051984,-0.0677068,-0.49736026,0.51743114,0.16952568,0.06857342
7,002672,-0.114042416,-0.99105686,-0.41980037,1.471882,0.87051284,1.7976352,0.26421884,-0.37084353,0.8871952,-0.061072346,-0.6899166,1.2196684,-1.0848297,-0.1991072
