Time,Opening,Highest,Lowest,Closing,Change,Pct_Change,Trading_Volume,Trading_Amount
1996-02-16,537.13,553.83,537.13,552.94,15.96,2.9722,187061000.0,929203968.0
1996-03-04,583.38,601.98,572.91,601.98,49.04,8.869,448092300.0,2372805120.0
1996-03-05,600.46,606.51,582.73,587.06,-14.92,-2.4785,428967200.0,2200692992.0
1996-03-06,582.37,583.33,558.69,559.7,-27.36,-4.6605,251425700.0,1265821952.0
1996-03-07,558.12,569.33,558.04,569.33,9.63,1.7206,114842000.0,586833024.0
1996-03-08,566.89,574.78,559.18,573.13,3.8,0.6675,133441200.0,765905024.0
1996-03-11,574.19,575.47,565.53,568.12,-5.01,-0.8741,115724600.0,633142976.0
1996-03-12,566.3,566.3,556.41,563.88,-4.24,-0.7463,116622500.0,631256000.0
1996-03-13,562.77,566.13,561.03,563.2,-0.68,-0.1206,66170200.0,340816000.0
1996-03-14,562.98,564.73,561.5,562.3,-0.9,-0.1598,59266700.0,316831008.0
1996-03-15,561.44,563.5,557.54,562.39,0.09,0.016,59779500.0,308015008.0
1996-03-18,561.81,568.02,561.09,567.87,5.48,0.9744,98070400.0,529025984.0
1996-03-19,568.14,571.13,565.34,566.55,-1.32,-0.2324,76332200.0,412311008.0
1996-03-20,566.28,570.48,566.24,569.67,3.12,0.5507,80307100.0,446454016.0
1996-03-21,570.22,574.01,569.31,569.76,0.09,0.0158,111847900.0,594340992.0
1996-03-22,569.51,571.33,566.52,570.18,0.42,0.0737,88493500.0,464683008.0
1996-03-25,570.77,572.75,569.37,570.24,0.06,0.0105,96236100.0,552892992.0
1996-03-26,570.25,570.74,562.97,563.52,-6.72,-1.1785,89045500.0,467403008.0
1996-03-27,562.73,562.98,557.32,562.35,-1.17,-0.2076,68452200.0,369351008.0
1996-03-28,562.31,562.44,553.89,554.04,-8.31,-1.4777,106069700.0,578857024.0
1996-03-29,553.8,557.35,549.71,556.39,2.35,0.4242,88449300.0,461200000.0
1996-04-01,566.21,573.95,561.95,566.19,9.8,1.7614,137165400.0,820545024.0
1996-04-02,564.94,564.99,556.91,557.21,-8.98,-1.586,67606800.0,358806016.0
1996-04-03,557.56,562.28,556.23,560.98,3.77,0.6766,48423900.0,258396992.0
1996-04-04,561.19,564.47,559.82,563.19,2.21,0.394,53691000.0,305107008.0
1996-04-05,563.67,584.18,563.67,582.53,19.34,3.434,115715900.0,709539008.0
1996-04-08,583.63,587.6,578.32,581.38,-1.15,-0.1974,189963000.0,1215844992.0
1996-04-09,580.63,580.94,576.61,578.07,-3.31,-0.5693,85930500.0,502419008.0
1996-04-10,578.37,582.3,577.73,579.82,1.75,0.3027,100459600.0,608286016.0
1996-04-11,579.51,583.38,576.99,583.38,3.56,0.614,99855400.0,611694976.0
1996-04-12,584.38,593.66,584.38,586.95,3.57,0.612,176589900.0,1025041024.0
1996-04-15,585.95,587.92,583.32,584.67,-2.28,-0.3884,82784900.0,485132000.0
1996-04-16,584.27,591.42,584.22,590.85,6.18,1.057,135067200.0,723480000.0
1996-04-17,594.15,597.77,591.89,593.38,2.53,0.4282,174049200.0,981171008.0
1996-04-18,592.81,600.28,589.8,600.28,6.9,1.1628,165678900.0,948628992.0
1996-04-19,602.15,618.27,602.15,618.12,17.84,2.9719,412333900.0,2443462912.0
1996-04-22,624.93,627.65,613.94,613.97,-4.15,-0.6714,531217400.0,3500454912.0
1996-04-23,611.37,623.77,609.89,623.77,9.8,1.5962,288155500.0,1789476992.0
1996-04-24,633.8,664.65,633.8,664.65,40.88,6.5537,718455300.0,4445490176.0
1996-04-25,674.47,686.56,650.82,652.67,-11.98,-1.8025,817838700.0,5038843904.0
1996-04-26,660.14,714.69,660.14,707.6,54.93,8.4162,1180802700.0,7656657920.0
1996-04-29,719.2,739.1,710.19,738.61,31.01,4.3824,1035272000.0,7022331904.0
1996-04-30,728.38,737.58,679.44,681.15,-57.46,-7.7795,866810700.0,5657916928.0
1996-05-02,715.98,721.57,652.62,654.42,-26.73,-3.9242,634882300.0,4011177984.0
1996-05-03,653.68,660.27,644.86,650.03,-4.39,-0.6708,357730400.0,2231610112.0
1996-05-06,648.23,672.76,648.23,671.27,21.24,3.2675,631796300.0,3200527872.0
1996-05-07,677.44,682.57,660.03,661.16,-10.11,-1.5061,543247800.0,2894629888.0
1996-05-08,659.7,666.86,653.1,661.26,0.1,0.0151,357206900.0,1973184000.0
1996-05-09,659.39,669.72,654.83,656.9,-4.36,-0.6593,342655500.0,2004590976.0
1996-05-10,656.32,661.46,648.03,661.46,4.56,0.6942,267718800.0,1471214976.0
1996-05-13,665.49,672.75,661.32,666.1,4.64,0.7015,383168300.0,1971533952.0
1996-05-14,668.58,672.32,663.45,665.41,-0.69,-0.1036,281177000.0,1625021952.0
1996-05-15,665.75,682.05,665.49,682.05,16.64,2.5007,278274800.0,1661156992.0
1996-05-16,687.51,698.05,682.58,683.07,1.02,0.1495,588911700.0,3530753024.0
1996-05-17,685.2,711.93,682.44,711.93,28.86,4.225,432081000.0,2843481088.0
1996-05-20,719.19,724.97,699.65,703.08,-8.85,-1.2431,662809700.0,4583917056.0
1996-05-21,701.95,706.97,661.47,661.85,-41.23,-5.8642,471554900.0,2913323008.0
1996-05-22,658.14,672.59,657.51,668.62,6.77,1.0229,366383700.0,2094263040.0
1996-05-23,668.69,670.14,641.93,642.67,-25.95,-3.8811,329240100.0,1703613056.0
1996-05-24,638.75,644.77,630.52,639.8,-2.87,-0.4466,251911000.0,1418904064.0
1996-05-27,636.3,641.35,635.05,637.95,-1.85,-0.2892,120722300.0,682553984.0
1996-05-28,641.37,647.0,637.95,646.91,8.96,1.4045,193418800.0,1125518976.0
1996-05-29,648.54,652.25,646.84,650.55,3.64,0.5627,141789900.0,864848000.0
1996-05-30,650.61,650.79,634.1,636.36,-14.19,-2.1812,168118300.0,1047171968.0
1996-05-31,633.91,653.07,632.25,643.65,7.29,1.1456,241609900.0,1808898048.0
1996-06-03,643.95,652.49,636.49,641.09,-2.56,-0.3977,323304400.0,2405914112.0
1996-06-04,642.06,656.54,641.09,651.51,10.42,1.6254,318367500.0,2289737984.0
1996-06-05,654.78,696.97,654.07,696.97,45.46,6.9776,599126300.0,4321803776.0
1996-06-06,703.03,715.18,691.75,702.63,5.66,0.8121,777663300.0,5636051968.0
1996-06-07,720.43,739.13,702.64,727.34,24.71,3.5168,1069187000.0,7645705216.0
1996-06-10,740.1,764.38,737.26,764.38,37.04,5.0925,1064045100.0,7306136064.0
1996-06-11,765.32,765.32,742.52,752.26,-12.12,-1.5856,770569800.0,5383228928.0
1996-06-12,761.38,773.87,751.47,755.77,3.51,0.4666,805835100.0,6186034176.0
1996-06-13,758.22,769.11,745.69,768.68,12.91,1.7082,692963900.0,5005496832.0
1996-06-14,781.98,790.25,772.49,777.27,8.59,1.1175,1017219300.0,7019304960.0
1996-06-17,779.71,779.79,750.55,751.99,-25.28,-3.2524,602104200.0,4112361984.0
1996-06-18,749.29,793.56,748.66,793.56,41.57,5.528,539872900.0,4582196224.0
1996-06-19,801.09,813.87,787.48,796.91,3.35,0.4221,734585600.0,6253847040.0
1996-06-20,788.92,802.48,784.17,793.58,-3.33,-0.4179,397506400.0,3488963072.0
1996-06-21,804.28,805.97,793.54,796.1,2.52,0.3175,377206700.0,3314504960.0
1996-06-24,797.95,798.69,789.26,793.33,-2.77,-0.3479,339144200.0,2713537024.0
1996-06-25,764.69,788.59,762.52,780.65,-12.68,-1.5983,366814800.0,3001940992.0
1996-06-26,782.92,801.85,782.15,801.46,20.81,2.6657,389447400.0,3268701952.0
1996-06-27,811.5,819.68,801.36,806.46,5,0.6239,573174400.0,5062873088.0
1996-06-28,809.6,811.69,798.34,804.25,-2.21,-0.274,436406200.0,3868656896.0
1996-07-01,800.9,804.21,755.53,761.11,-43.14,-5.364,602765200.0,4956115968.0
1996-07-02,758.46,765.78,753.75,759.71,-1.4,-0.1839,361340700.0,3226544896.0
1996-07-03,767.1,786.13,759.7,786.13,26.42,3.4776,543638900.0,5317400064.0
1996-07-04,790.27,794.85,774.07,785.42,-0.71,-0.0903,618188500.0,5856775168.0
1996-07-05,788.1,797.15,783.86,785.37,-0.05,-0.0064,713511700.0,5817924096.0
1996-07-08,794.12,807.89,790.09,807.33,21.96,2.7961,727434700.0,6682526208.0
1996-07-09,815.02,822.5,807.43,817.61,10.28,1.2733,767306400.0,6685924864.0
1996-07-10,821.09,825.39,809.35,820.04,2.43,0.2972,657426200.0,5522329088.0
1996-07-11,822.17,822.38,790.56,792.06,-27.98,-3.412,539523000.0,4542618112.0
1996-07-12,784.26,796.41,778.87,796.41,4.35,0.5492,380190500.0,3408681984.0
1996-07-15,794.88,796.25,780.15,789.15,-7.26,-0.9116,366584000.0,3162691072.0
1996-07-16,796.75,823.77,793.69,823.08,33.93,4.2996,568110200.0,4711950848.0
1996-07-17,830.64,841.4,808.49,808.99,-14.09,-1.7119,719264700.0,5230511104.0
1996-07-18,808.09,819.55,808.09,818.04,9.05,1.1187,381463500.0,2923289088.0
1996-07-19,824.0,857.07,820.66,856.92,38.88,4.7528,860225700.0,6310249984.0
1996-07-22,871.47,887.06,870.21,884.93,28.01,3.2687,1082827000.0,8155991040.0
1996-07-23,888.91,889.41,864.5,871.47,-13.46,-1.521,684744700.0,5458552832.0
1996-07-24,874.97,894.72,874.97,887.59,16.12,1.8497,776747000.0,6477127168.0
1996-07-25,887.25,894.21,867.09,868.15,-19.44,-2.1902,822468900.0,6345047040.0
1996-07-26,868.27,872.26,840.2,845.12,-23.03,-2.6528,653036400.0,5458916864.0
1996-07-29,846.18,855.49,837.19,855.42,10.3,1.2188,416855800.0,3398341888.0
1996-07-30,861.72,865.5,834.87,836.93,-18.49,-2.1615,409372700.0,3347380992.0
1996-07-31,836.67,841.71,820.85,822.47,-14.46,-1.7277,356860200.0,2827411968.0
1996-08-01,823.17,843.01,814.88,835.1,12.63,1.5356,371330400.0,2956077056.0
1996-08-02,842.39,850.58,828.66,838.87,3.77,0.4514,391827200.0,3304123904.0
1996-08-05,846.03,853.19,838.59,853.19,14.32,1.7071,325265800.0,2536515072.0
1996-08-06,854.77,862.43,848.35,862.22,9.03,1.0584,376433100.0,3079941120.0
1996-08-07,865.49,873.02,862.61,867.26,5.04,0.5845,511448200.0,4188758016.0
1996-08-08,871.02,877.91,869.54,875.99,8.73,1.0066,446744900.0,3559627008.0
1996-08-09,875.18,880.3,857.73,871.6,-4.39,-0.5011,543428800.0,4224015872.0
1996-08-12,880.13,894.85,880.13,886.04,14.44,1.6567,529240600.0,4094010880.0
1996-08-13,885.89,887.35,872.39,874.8,-11.24,-1.2686,338046300.0,2680615936.0
1996-08-14,875.78,879.08,868.73,871.64,-3.16,-0.3612,306699800.0,2484532992.0
1996-08-15,872.83,878.57,864.76,865.82,-5.82,-0.6677,370310300.0,3000361984.0
1996-08-16,862.68,862.88,838.41,853.87,-11.95,-1.3802,392755900.0,3310181120.0
1996-08-19,852.33,852.35,834.54,835.61,-18.26,-2.1385,262957200.0,2171016960.0
1996-08-20,834.73,837.57,820.76,822.44,-13.17,-1.5761,271578000.0,2210839040.0
1996-08-21,825.69,842.68,825.6,833.6,11.16,1.3569,353354900.0,2953765120.0
1996-08-22,838.19,842.45,816.04,816.42,-17.18,-2.0609,293310200.0,2336678912.0
1996-08-23,824.88,824.88,786.44,803.69,-12.73,-1.5592,350852700.0,2884538880.0
1996-08-26,789.14,800.53,770.85,773.06,-30.63,-3.8112,294132200.0,2597168128.0
1996-08-27,769.78,787.48,766.7,787.46,14.4,1.8627,259649100.0,2085479040.0
1996-08-28,790.71,806.35,789.06,796.83,9.37,1.1899,349927500.0,3035088896.0
1996-08-29,797.31,797.97,783.95,788.73,-8.1,-1.0165,314290700.0,2321099008.0
1996-08-30,791.39,809.96,791.39,809.93,21.2,2.6879,466421900.0,3645650944.0
1996-09-02,812.94,813.56,803.12,804.77,-5.16,-0.6371,362917600.0,2731862016.0
1996-09-03,805.53,818.87,799.01,800.22,-4.55,-0.5654,363471600.0,2809078016.0
1996-09-04,797.89,813.46,795.07,812.01,11.79,1.4733,371796900.0,3151040000.0
1996-09-05,817.37,838.66,812.93,814.38,2.37,0.2919,705552700.0,6088865792.0
1996-09-06,813.59,818.35,796.17,801.23,-13.15,-1.6147,361496500.0,3128339968.0
1996-09-09,798.59,799.97,791.62,793.58,-7.65,-0.9548,360370900.0,3426558976.0
1996-09-10,793.21,793.21,763.14,764.44,-29.14,-3.672,357919100.0,3085954048.0
1996-09-11,762.8,773.59,754.58,769.24,4.8,0.6279,290259500.0,2257991936.0
1996-09-12,780.32,784.18,754.1,757.08,-12.16,-1.5808,495112500.0,3133171968.0
1996-09-13,756.39,779.06,752.68,779.06,21.98,2.9033,329442500.0,2478735104.0
1996-09-16,779.85,784.47,771.8,778.29,-0.77,-0.0988,310575900.0,2833519104.0
1996-09-17,777.72,785.11,774.14,776.47,-1.82,-0.2338,282571200.0,2518368000.0
1996-09-18,781.33,782.72,757.94,760.75,-15.72,-2.0245,296064700.0,2562926080.0
1996-09-19,756.11,769.13,754.28,769.09,8.34,1.0963,204782700.0,1622768000.0
1996-09-20,772.28,805.53,770.04,805.53,36.44,4.7381,363256800.0,3339568896.0
1996-09-23,812.94,852.03,812.3,851.98,46.45,5.7664,875020900.0,8309434880.0
1996-09-24,857.41,865.49,845.39,849.92,-2.06,-0.2418,761911600.0,7363953152.0
1996-09-25,855.34,858.6,830.25,835.18,-14.74,-1.7343,526965300.0,5200642048.0
1996-09-26,837.68,857.44,837.68,854.66,19.48,2.3324,552870500.0,5482571776.0
1996-09-27,861.62,875.52,855.75,875.52,20.86,2.4407,677971100.0,6678001152.0
1996-10-03,887.85,891.7,864.67,865.48,-10.04,-1.1467,585527500.0,5458216960.0
1996-10-04,864.19,869.65,855.78,863.45,-2.03,-0.2346,384919800.0,3446789888.0
1996-10-07,866.07,869.87,852.83,864.66,1.21,0.1401,440136700.0,3505955072.0
1996-10-08,869.07,882.08,865.42,877.6,12.94,1.4965,536293200.0,4412234240.0
1996-10-09,882.18,883.62,865.56,874.01,-3.59,-0.4091,510722900.0,4245056000.0
1996-10-10,878.05,904.13,877.33,904.09,30.08,3.4416,974568300.0,7061037056.0
1996-10-11,909.06,912.0,898.71,909.89,5.8,0.6415,1125254200.0,7797990912.0
1996-10-14,919.7,943.55,919.7,940.78,30.89,3.3949,1250236200.0,8969167872.0
1996-10-15,943.8,944.93,925.66,937.29,-3.49,-0.371,865586700.0,6736911872.0
1996-10-16,944.34,953.4,921.14,933.88,-3.41,-0.3638,849945500.0,6843387904.0
1996-10-17,931.11,952.45,928.08,952.32,18.44,1.9746,833141600.0,6816293888.0
1996-10-18,960.55,968.21,937.77,939.93,-12.39,-1.301,996399000.0,7742965248.0
1996-10-21,943.02,964.43,943.02,964.39,24.46,2.6023,740976100.0,5593432064.0
1996-10-22,952.93,978.97,943.02,976.47,12.08,1.2526,1011405700.0,7435008000.0
1996-10-23,989.32,1011.13,986.72,1010.83,34.36,3.5188,1426261100.0,11137469440.0
1996-10-24,1017.45,1020.97,1004.36,1007.91,-2.92,-0.2889,1116509600.0,9555097600.0
1996-10-25,1006.3,1016.9,994.82,1012.67,4.76,0.4723,1127398700.0,9754449920.0
1996-10-28,1001.22,1026.84,1000.07,1022.86,10.19,1.0063,1029549400.0,8917735424.0
1996-10-29,1032.61,1038.81,1013.49,1017.51,-5.35,-0.523,1054758100.0,9336178688.0
1996-10-30,1017.06,1022.02,955.23,958.93,-58.58,-5.7572,891342200.0,7587445248.0
1996-10-31,972.16,983.22,949.59,976.71,17.78,1.8541,718393000.0,6119404032.0
1996-11-01,935.17,962.11,906.96,930.79,-45.92,-4.7015,797474700.0,6261479936.0
1996-11-04,930.99,947.87,929.73,945.11,14.32,1.5385,562850200.0,4464489984.0
1996-11-05,947.44,950.36,922.66,928.02,-17.09,-1.8083,503855500.0,4186927104.0
1996-11-06,925.75,928.46,896.87,915.05,-12.97,-1.3976,397199800.0,3165271040.0
1996-11-07,919.95,931.6,915.62,928.14,13.09,1.4305,349476100.0,3100195072.0
1996-11-08,927.24,927.38,911.91,919.67,-8.47,-0.9126,305442000.0,2774899968.0
1996-11-11,923.36,933.96,922.19,933.96,14.29,1.5538,363143200.0,3202007040.0
1996-11-12,937.69,949.24,928.97,943.0,9.04,0.9679,493715800.0,3812108032.0
1996-11-13,945.97,951.09,932.93,940.52,-2.48,-0.263,452026000.0,3721660928.0
1996-11-14,944.46,957.6,943.6,953.19,12.67,1.3471,553915200.0,4671388160.0
1996-11-15,951.51,958.61,943.8,950.82,-2.37,-0.2486,550985700.0,5077394944.0
1996-11-18,952.72,1004.94,948.81,1004.68,53.86,5.6646,827896200.0,7373921792.0
1996-11-19,1019.61,1047.39,1008.23,1015.95,11.27,1.1218,1289000700.0,10836172800.0
1996-11-20,1010.81,1018.89,992.26,1014.92,-1.03,-0.1014,854193500.0,7381851136.0
1996-11-21,1018.05,1025.57,937.84,940.77,-74.15,-7.306,871465700.0,7371382784.0
1996-11-22,928.51,952.02,919.6,951.83,11.06,1.1756,636231700.0,4929890816.0
