ID,证券简称,Labels
002248,华东数控,1
002249,大洋电机,7
002250,联化科技,4
002251,*ST 步高,0
002252,上海莱士,2
002253,川大智胜,2
002254,泰和新材,4
002255,海陆重工,0
002256,兆新股份,4
002258,利尔化学,4
002259,ST 升达,4
002261,拓维信息,1
002262,恩华药业,2
002263,大东南,3
002264,新华都,7
002265,建设工业,7
002266,浙富控股,0
002267,陕天然气,4
002268,电科网安,3
002269,美邦服饰,0
002270,华明装备,1
002271,东方雨虹,7
002272,川润股份,7
002273,水晶光电,2
002274,华昌化工,2
002275,桂林三金,2
002276,万马股份,7
002277,友阿股份,4
002278,神开股份,7
002279,久其软件,7
002281,光迅科技,2
002282,博深股份,2
002283,天润工业,4
002284,亚太股份,3
002285,世联行,3
002286,保龄宝,4
002287,奇正藏药,2
002289,ST 宇顺,5
002290,禾盛新材,7
002291,遥望科技,0
002292,奥飞娱乐,2
002293,罗莱生活,2
002294,信立泰,1
002295,精艺股份,7
002296,辉煌科技,2
002297,博云新材,4
002298,中电兴发,0
002299,圣农发展,4
002300,太阳电缆,4
002301,齐心集团,7
002302,西部建设,7
002303,美盈森,4
002304,洋河股份,3
002305,南国置业,0
002306,中科云网,1
002307,北新路桥,6
002311,海大集团,2
002312,川发龙蟒,4
002313,日海智能,7
002314,南山控股,0
002315,焦点科技,2
002316,ST 亚联,7
002317,众生药业,2
002318,久立特材,2
002319,乐通股份,1
002320,海峡股份,2
002321,华英农业,4
002322,理工能科,2
002323,雅博股份,1
002324,普利特,7
002326,永太科技,4
002327,富安娜,2
002328,新朋股份,2
002329,皇氏集团,4
002330,得利斯,4
002331,皖通科技,7
002332,仙琚制药,2
002333,罗普斯金,7
002334,英威腾,7
002335,科华数据,7
002337,赛象科技,3
002338,奥普光电,1
002339,积成电子,7
002340,格林美,4
002342,巨力索具,4
002343,慈文传媒,2
002344,海宁皮城,0
002345,潮宏基,2
002347,泰尔股份,7
002348,高乐股份,1
002349,精华制药,3
002350,北京科锐,2
002351,漫步者,2
002352,顺丰控股,4
002353,杰瑞股份,7
002355,兴民智通,2
002356,赫美集团,1
002357,富临运业,4
002358,森源电气,7
002360,同德化工,0
002361,神剑股份,7
002362,汉王科技,2
002363,隆基机械,2
002364,中恒电气,7
002365,永安药业,2
002366,融发核电,4
002367,康力电梯,0
002368,太极股份,7
002369,卓翼科技,4
002370,亚太药业,3
002371,北方华创,1
002372,伟星新材,1
002373,千方科技,7
002374,中锐股份,7
002375,亚厦股份,0
002376,新北洋,4
002377,国创高新,7
002378,章源钨业,4
002379,宏创控股,2
002380,科远智慧,7
002381,双箭股份,4
002382,蓝帆医疗,4
002383,合众思壮,7
002384,东山精密,4
002385,大北农,4
002386,天原股份,4
002387,维信诺,4
002388,新亚制程,7
002389,航天彩虹,2
002390,信邦制药,7
002391,长青股份,4
002392,北京利尔,7
002393,力生制药,2
002394,联发股份,4
002395,双象股份,4
002396,星网锐捷,0
002397,梦洁股份,4
002398,垒知集团,7
002399,海普瑞,4
002400,省广集团,7
002401,中远海科,3
002402,和而泰,7
002403,爱仕达,4
002404,嘉欣丝绸,2
002405,四维图新,3
002406,远东传动,2
002407,多氟多,4
002408,齐翔腾达,4
002409,雅克科技,2
002410,广联达,2
002412,汉森制药,2
002413,雷科防务,7
002414,高德红外,1
002415,海康威视,7
002416,爱施德,0
002418,康盛股份,7
002419,天虹股份,0
002420,毅昌科技,7
002421,达实智能,0
002422,科伦药业,2
002423,中粮资本,0
002424,ST 百灵,7
002425,ST 凯文,0
002426,胜利精密,4
002427,尤夫股份,4
002430,杭氧股份,4
002431,棕榈股份,0
002432,九安医疗,2
002434,万里扬,4
